product_id;sku;name;price;availability;category;url
706;706;Аккумулятор NAFFAS Infinix Hot 10 Lite/10S/12i/20i/Smart 6/6 HD/6 Plus (BL-49FX);450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
437;437;Аккумулятор NAFFAS Infinix Hot 10 Play/11/11 Play/12 Play/20 Play/30 Play (BL-58BX);400.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
753;753;Аккумулятор  NAFFAS Infinix Hot 10 Play/11/11 Play/12 Play/20 Play/30 Play (BL-58BX) оригинал;500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
216;216;Аккумулятор NAFFAS Infinix HOT 10 Play/11/11 Play/12 Play/30 Play (BL-58GX);500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
846;846;Аккумулятор NAFFAS Infinix Hot 11S/12 Pro (BL-49GX);450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
335;335;Аккумулятор NAFFAS Infinix Hot 20S/20 (BL-49LX));450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1306;1306;Аккумулятор NAFFAS Infinix Hot 30i/40i/Smart 7/7 HD/8/8 Pro (BL-49NX);450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
339;339;Аккумулятор NAFFAS Infinix Note 10 Pro/11 Pro/HOT 30 4G/40/40 Pro (BL-49JX);450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1273;1273;Аккумулятор NAFFAS Infinix Note 11/12/12 Pro/12 2023 (BL-49KX;450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1091;1091;Аккумулятор NAFFAS Infinix Note 30 4G (BL-49TX);300.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1089;1089;Аккумулятор NAFFAS Infinix Note 30 4G (BL-49TX) оригинал;300.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
981;981;Аккумулятор NAFFAS Infinix Note 30i (BL-49OX);500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
509;509;Аккумулятор NAFFAS Infinix Note 30i (BL-49OX) оригинал;500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
194;194;Аккумулятор NAFFAS Infinix Note 30 Pro/30 VIP/Zero 30 4G/5G (BL-49PX;500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1037;1037;Аккумулятор NAFFAS Infinix Note 30 Pro/30 VIP/Zero 30 4G/5G (BL-49PX);500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
776;776;Аккумулятор NAFFAS Infinix Note 40 4G/GT 20 Pro (BL-49XX);250.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
958;958;Аккумулятор NAFFAS Infinix Note 40 4G/GT 20 Pro (BL-49XX) оригинал;450.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1083;1083;Аккумулятор NAFFAS Infinix Note 40 Pro 4G (BL-49VX);350.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
36;36;Аккумулятор NAFFAS Infinix Note 40 Pro 4G (BL-49VX) оригинал;500.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
997;997;Аккумулятор NAFFAS Infinix Zero 20/X Pro (BL-44EX);400.0;В наличии;Аккумуляторы/Аккумуляторы для iNFiNiX;
1312;1312;Аккумулятор NAFFAS iPad Air 2 / iPad 6 (A1547) 7340mAh;700.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
442;442;Аккумулятор NAFFAS iPad Air / iPad 5 (A1484) 8827mAh;700.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
796;796;Аккумулятор NAFFAS iPhone 11 Pro Max усиленная (4500mAh);800.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1015;1015;Аккумулятор NAFFAS iPhone 11 Pro оригинал;800.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1100;1100;Аккумулятор NAFFAS iPhone 11 Pro - усиленная (3410mAh);900.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
224;224;Аккумулятор NAFFAS iPhone 12 / 12 Pro оригинал;600.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1281;1281;Аккумулятор NAFFAS iPhone 12 mini усиленная;700.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
407;407;Аккумулятор NAFFAS iPhone 12 Pro Max оригинал;900.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
798;798;Аккумулятор NAFFAS iPhone 12 Pro Max усиленная (4400mAh);1000.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
836;836;Аккумулятор NAFFAS iPhone 12 Pro Max усиленная CLEAN ORIG 100% (3530mAh) с привязкой iOS 18;1400.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
689;689;Аккумулятор NAFFAS iPhone 13 mini оригинал;600.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1085;1085;Аккумулятор NAFFAS iPhone 13 mini усиленная;700.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1188;1188;Аккумулятор NAFFAS iPhone 13 mini усиленная CLEAN ORIG 100% (3530mAh) с привязкой iOS 18;1200.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
360;360;Аккумулятор NAFFAS iPhone 13 Pro Max оригинал;1000.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
119;119;Аккумулятор NAFFAS iPhone 13 Pro Max усиленная;1100.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
987;987;Аккумулятор NAFFAS iPhone 13 Pro Max усиленная CLEAN ORIG 100% (3530mAh) с привязкой iOS 18;1500.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
76;76;Аккумулятор NAFFAS iPhone 13 Pro оригинал;1000.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
59;59;Аккумулятор NAFFAS iPhone 13 Pro усиленная (3300mAh);1100.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
877;877;Аккумулятор NAFFAS iPhone 14 Plus оригинал;800.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1398;1398;Аккумулятор NAFFAS iPhone 14 Pro Max усиленная;1200.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
334;334;Аккумулятор NAFFAS iPhone 14 Pro оригинал;1100.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
57;57;Аккумулятор NAFFAS iPhone 14 Pro усиленная;1200.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
135;135;Аккумулятор NAFFAS iPhone 14 оригинал;700.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1371;1371;Аккумулятор NAFFAS iPhone 14 усиленная (3670mAh);900.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1235;1235;Аккумулятор NAFFAS iPhone 14 усиленная CLEAN ORIG 100% (3530mAh) с привязкой iOS 18;1400.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
479;479;Аккумулятор NAFFAS  iPhone 15 Pro Max оригинал;1100.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
464;464;Аккумулятор NAFFAS iPhone 15 Pro Max усиленная (4750mAh);1200.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1035;1035;Аккумулятор NAFFAS iPhone 15 Pro Max усиленная CLEAN ORIG 100% (4860mAh) с привязкой iOS 18;1600.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
666;666;Аккумулятор NAFFAS  iPhone 15 Pro оригинал;1100.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1300;1300;Аккумулятор NAFFAS iPhone 15 Pro усиленная (3500mAh);1300.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
922;922;Аккумулятор NAFFAS iPhone 15 Pro усиленная CLEAN ORIG 100% (3500mAh) с привязкой iOS 18;1500.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
722;722;Аккумулятор NAFFAS iPhone 15 усиленная (3620mAh);900.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1220;1220;Аккумулятор NAFFAS iPhone 15 усиленная CLEAN ORIG 100% (3620mAh) с привязкой iOS 18;1400.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1381;1381;Аккумулятор NAFFAS iPhone 16 Plus оригинал;1300.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
751;751;Аккумулятор NAFFAS  iPhone 16 оригинал;1000.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
2;2;Аккумулятор NAFFAS iPhone 7 Plus оригинал;400.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
1207;1207;Аккумулятор NAFFAS iPhone 7 усиленная (2200mAh);500.0;В наличии;Аккумуляторы/Аккумуляторы для iPhone;
